Eye Movement,Emotion,Hand Gesture
Center,sad,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
No Face Detected,angry,No Hand Detected
Center,fear,Open Palm 🖐️
Center,angry,Open Palm 🖐️
Center,angry,Open Palm 🖐️
Center,angry,Open Palm 🖐️
Center,angry,Open Palm 🖐️
Center,fear,Peace Sign ✌️
Center,angry,Open Palm 🖐️
Center,angry,Open Palm 🖐️
Center,angry,Open Palm 🖐️
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,angry,No Hand Detected
Center,neutral,No Hand Detected
Center,sad,No Hand Detected
Center,neutral,No Hand Detected
Center,neutral,No Hand Detected
Center,neutral,No Hand Detected
Center,neutral,No Hand Detected
Center,sad,No Hand Detected
Center,neutral,Open Palm 🖐️
Center,neutral,Open Palm 🖐️
Center,neutral,Open Palm 🖐️
Center,neutral,No Hand Detected
Center,neutral,No Hand Detected
Center,sad,No Hand Detected
Center,neutral,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,neutral,No Hand Detected
Center,neutral,No Hand Detected
Center,neutral,Open Palm 🖐️
No Face Detected,angry,Open Palm 🖐️
Center,happy,Open Palm 🖐️
Center,happy,Open Palm 🖐️
Center,happy,Open Palm 🖐️
Center,fear,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
Center,angry,Peace Sign ✌️
No Face Detected,sad,Pointing ☝️
Center,sad,Pointing ☝️
No Face Detected,sad,Pointing ☝️
Center,sad,Pointing ☝️
Center,sad,Pointing ☝️
No Face Detected,sad,Pointing ☝️
Center,sad,Pointing ☝️
No Face Detected,angry,Peace Sign ✌️
No Face Detected,neutral,Peace Sign ✌️
No Face Detected,sad,Peace Sign ✌️
No Face Detected,sad,Peace Sign ✌️
No Face Detected,angry,Peace Sign ✌️
No Face Detected,angry,Peace Sign ✌️
No Face Detected,angry,Peace Sign ✌️
No Face Detected,angry,Peace Sign ✌️
Center,angry,Peace Sign ✌️
Center,angry,Thumbs Up 👍
No Face Detected,angry,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
No Face Detected,sad,Thumbs Up 👍
No Face Detected,angry,Thumbs Up 👍
No Face Detected,angry,Thumbs Up 👍
Center,angry,Thumbs Up 👍
