Eye Direction,Emotion,Gesture
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,fear,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,neutral,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,neutral,Unknown
Center,angry,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,angry,Unknown
Center,surprise,Unknown
Center,surprise,Unknown
Center,happy,Unknown
Center,sad,Unknown
Center,happy,Unknown
Center,neutral,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,surprise,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,happy,Unknown
Center,surprise,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,neutral,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,neutral,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,sad,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,angry,Unknown
Center,happy,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,angry,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,angry,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,angry,Unknown
Center,happy,Unknown
Center,angry,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,fear,Unknown
Center,sad,Unknown
Center,happy,Unknown
Center,happy,Unknown
Center,sad,Unknown
Center,sad,Unknown
Center,happy,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
Center,angry,Unknown
